haul_id;year;cell
1997-9-4-14-50--61.75025-45.6930833333333;1997;6669
2001-9-5-10-50--61.7630833333333-45.6968333333333;2001;6669
1990-9-4-1-16--61.75-45.7;1990;6669
1991-9-2-18-10--61.7666666666667-45.7;1991;6669
2005-9-11-13-58--61.75625-45.707;2005;6669
2005-9-11-13-57--61.7645-45.7070833333333;2005;6669
2014-9-13-19-38--61.7684166666667-45.7103333333333;2014;6669
2015-9-22-2-10--61.7684166666667-45.7104166666667;2015;6669
1993-9-11-3-47--61.7666666666667-45.7166666666667;1993;6669
2002-9-5-8-36--61.7776666666667-45.7166666666667;2002;6669
2012-9-6-16-51--61.76875-45.7186666666667;2012;6669
2011-9-14-7-52--61.6235-45.7314166666667;2011;6669
1977-9-20-8-15--62.4166666666667-45.7333333333333;1977;6669
2010-9-9-11-19--61.6043333333333-45.7366666666667;2010;6669
2006-9-5-13-33--62.3839166666667-45.7366666666667;2006;6669
2012-9-6-19-27--61.589-45.7386666666667;2012;6669
2009-9-10-8-0--61.6791666666667-45.7430833333333;2009;6669
2019-9-21-2-8--61.6093333333333-45.7434166666667;2019;6669
2010-9-9-9-36--61.7744166666667-45.7435;2010;6669
1998-9-24-5-10--61.6376666666667-45.7478333333333;1998;6669
2007-9-5-14-35--62.368-45.7480833333333;2007;6669
2001-9-28-13-32--61.6325833333333-45.7499166666667;2001;6669
1989-9-4-19-14--61.6166666666667-45.75;1989;6669
1986-9-3-10-31--61.65-45.75;1986;6669
1998-9-24-15-48--61.636-45.7508333333333;1998;6669
2008-8-29-9-52--61.6031666666667-45.7524166666667;2008;6669
2007-9-5-21-32--61.7790833333333-45.7524166666667;2007;6669
2006-9-6-4-28--61.6400833333333-45.75325;2006;6669
2014-9-13-21-51--61.6256666666667-45.75675;2014;6669
2011-9-14-5-4--61.6700833333333-45.7571666666667;2011;6669
2004-9-8-20-5--61.6476666666667-45.7575833333333;2004;6669
1985-9-6-10-55--61.6333333333333-45.7666666666667;1985;6669
1985-9-4-10-22--61.65-45.7666666666667;1985;6669
1984-8-28-10-45--61.65-45.7666666666667;1984;6669
1987-9-23-8-45--61.65-45.7666666666667;1987;6669
1988-9-7-7-36--61.7666666666667-45.7666666666667;1988;6669
2002-9-6-7-8--61.60275-45.7699166666667;2002;6669
2009-9-9-16-10--62.4859166666667-45.7711666666667;2009;6669
2000-9-27-13-1--61.6920833333333-45.77175;2000;6669
