"cell","year"
"6956","2003"
"6956","2004"
"6956","2005"
"6956","2006"
"6956","2007"
"6956","2008"
"6956","2009"
"6956","2010"
"6956","2011"
"6956","2012"
"6956","2013"
"6956","2014"
"6956","2015"
"6956","2016"
"6956","2017"
"6956","2018"
"6956","2019"
"6956","2020"
"6958","2003"
"6958","2004"
"6958","2005"
"6958","2006"
"6958","2007"
"6958","2008"
"6958","2009"
"6958","2010"
"6958","2011"
"6958","2012"
"6958","2013"
"6958","2014"
"6958","2015"
"6958","2016"
"6958","2017"
"6958","2018"
"6958","2019"
"6958","2020"
"7040","2003"
"7040","2004"
"7040","2005"
"7040","2006"
"7040","2007"
"7040","2008"
"7040","2009"
"7040","2010"
"7040","2011"
"7040","2012"
"7040","2013"
"7040","2014"
"7040","2015"
"7040","2016"
"7040","2017"
"7040","2018"
"7040","2019"
"7040","2020"
"7041","2003"
"7041","2004"
"7041","2005"
"7041","2006"
"7041","2007"
"7041","2008"
"7041","2009"
"7041","2010"
"7041","2011"
"7041","2012"
"7041","2013"
"7041","2014"
"7041","2015"
"7041","2016"
"7041","2017"
"7041","2018"
"7041","2019"
"7041","2020"
"7118","2003"
"7118","2004"
"7118","2005"
"7118","2006"
"7118","2007"
"7118","2008"
"7118","2009"
"7118","2010"
"7118","2011"
"7118","2012"
"7118","2013"
"7118","2014"
"7118","2015"
"7118","2016"
"7118","2017"
"7118","2018"
"7118","2019"
"7118","2020"
"7122","2003"
"7122","2004"
"7122","2005"
"7122","2006"
"7122","2007"
"7122","2008"
"7122","2009"
"7122","2010"
"7122","2011"
"7122","2012"
"7122","2013"
"7122","2014"
"7122","2015"
"7122","2016"
"7122","2017"
"7122","2018"
"7122","2019"
"7122","2020"
"7123","2003"
"7123","2004"
"7123","2005"
"7123","2006"
"7123","2007"
"7123","2008"
"7123","2009"
"7123","2010"
"7123","2011"
"7123","2012"
"7123","2013"
"7123","2014"
"7123","2015"
"7123","2016"
"7123","2017"
"7123","2018"
"7123","2019"
"7123","2020"
"7199","2003"
"7199","2004"
"7199","2005"
"7199","2006"
"7199","2007"
"7199","2008"
"7199","2009"
"7199","2010"
"7199","2011"
"7199","2012"
"7199","2013"
"7199","2014"
"7199","2015"
"7199","2016"
"7199","2017"
"7199","2018"
"7199","2019"
"7199","2020"
"7203","2003"
"7203","2004"
"7203","2005"
"7203","2006"
"7203","2007"
"7203","2008"
"7203","2009"
"7203","2010"
"7203","2011"
"7203","2012"
"7203","2013"
"7203","2014"
"7203","2015"
"7203","2016"
"7203","2017"
"7203","2018"
"7203","2019"
"7203","2020"
"7204","2003"
"7204","2004"
"7204","2005"
"7204","2006"
"7204","2007"
"7204","2008"
"7204","2009"
"7204","2010"
"7204","2011"
"7204","2012"
"7204","2013"
"7204","2014"
"7204","2015"
"7204","2016"
"7204","2017"
"7204","2018"
"7204","2019"
"7204","2020"
"7205","2003"
"7205","2004"
"7205","2005"
"7205","2006"
"7205","2007"
"7205","2008"
"7205","2009"
"7205","2010"
"7205","2011"
"7205","2012"
"7205","2013"
"7205","2014"
"7205","2015"
"7205","2016"
"7205","2017"
"7205","2018"
"7205","2019"
"7205","2020"
"7285","2003"
"7285","2004"
"7285","2005"
"7285","2006"
"7285","2007"
"7285","2008"
"7285","2009"
"7285","2010"
"7285","2011"
"7285","2012"
"7285","2013"
"7285","2014"
"7285","2015"
"7285","2016"
"7285","2017"
"7285","2018"
"7285","2019"
"7285","2020"
"7286","2003"
"7286","2004"
"7286","2005"
"7286","2006"
"7286","2007"
"7286","2008"
"7286","2009"
"7286","2010"
"7286","2011"
"7286","2012"
"7286","2013"
"7286","2014"
"7286","2015"
"7286","2016"
"7286","2017"
"7286","2018"
"7286","2019"
"7286","2020"
"7361","2003"
"7361","2004"
"7361","2005"
"7361","2006"
"7361","2007"
"7361","2008"
"7361","2009"
"7361","2010"
"7361","2011"
"7361","2012"
"7361","2013"
"7361","2014"
"7361","2015"
"7361","2016"
"7361","2017"
"7361","2018"
"7361","2019"
"7361","2020"
"7366","2003"
"7366","2004"
"7366","2005"
"7366","2006"
"7366","2007"
"7366","2008"
"7366","2009"
"7366","2010"
"7366","2011"
"7366","2012"
"7366","2013"
"7366","2014"
"7366","2015"
"7366","2016"
"7366","2017"
"7366","2018"
"7366","2019"
"7366","2020"
"7367","2003"
"7367","2004"
"7367","2005"
"7367","2006"
"7367","2007"
"7367","2008"
"7367","2009"
"7367","2010"
"7367","2011"
"7367","2012"
"7367","2013"
"7367","2014"
"7367","2015"
"7367","2016"
"7367","2017"
"7367","2018"
"7367","2019"
"7367","2020"
"7445","2003"
"7445","2004"
"7445","2005"
"7445","2006"
"7445","2007"
"7445","2008"
"7445","2009"
"7445","2010"
"7445","2011"
"7445","2012"
"7445","2013"
"7445","2014"
"7445","2015"
"7445","2016"
"7445","2017"
"7445","2018"
"7445","2019"
"7445","2020"
"7448","2003"
"7448","2004"
"7448","2005"
"7448","2006"
"7448","2007"
"7448","2008"
"7448","2009"
"7448","2010"
"7448","2011"
"7448","2012"
"7448","2013"
"7448","2014"
"7448","2015"
"7448","2016"
"7448","2017"
"7448","2018"
"7448","2019"
"7448","2020"
"7606","2003"
"7606","2004"
"7606","2005"
"7606","2006"
"7606","2007"
"7606","2008"
"7606","2009"
"7606","2010"
"7606","2011"
"7606","2012"
"7606","2013"
"7606","2014"
"7606","2015"
"7606","2016"
"7606","2017"
"7606","2018"
"7606","2019"
"7606","2020"
"7610","2003"
"7610","2004"
"7610","2005"
"7610","2006"
"7610","2007"
"7610","2008"
"7610","2009"
"7610","2010"
"7610","2011"
"7610","2012"
"7610","2013"
"7610","2014"
"7610","2015"
"7610","2016"
"7610","2017"
"7610","2018"
"7610","2019"
"7610","2020"
"7688","2003"
"7688","2004"
"7688","2005"
"7688","2006"
"7688","2007"
"7688","2008"
"7688","2009"
"7688","2010"
"7688","2011"
"7688","2012"
"7688","2013"
"7688","2014"
"7688","2015"
"7688","2016"
"7688","2017"
"7688","2018"
"7688","2019"
"7688","2020"
