"cell","year"
"7122","2005"
"7122","2006"
"7122","2007"
"7122","2008"
"7123","2005"
"7123","2006"
"7123","2007"
"7123","2008"
"7203","2005"
"7203","2006"
"7203","2007"
"7203","2008"
"7204","2005"
"7204","2006"
"7204","2007"
"7204","2008"
"7205","2005"
"7205","2006"
"7205","2007"
"7205","2008"
"7285","2005"
"7285","2006"
"7285","2007"
"7285","2008"
"7286","2005"
"7286","2006"
"7286","2007"
"7286","2008"
"7366","2005"
"7366","2006"
"7366","2007"
"7366","2008"
"7367","2005"
"7367","2006"
"7367","2007"
"7367","2008"
"7448","2005"
"7448","2006"
"7448","2007"
"7448","2008"
