"cell","year"
"8583","2018"
"8664","2018"
"8665","2018"
"8745","2018"
"8746","2018"
"8827","2018"
"8908","2018"
"8989","2002"
"8989","2005"
"8989","2006"
"8989","2007"
"8989","2008"
"8989","2009"
"8989","2010"
"8989","2011"
"8989","2013"
"8989","2014"
"8989","2015"
"8989","2016"
"8989","2017"
"8989","2018"
"8990","2018"
"9071","2018"
"9152","2002"
"9152","2005"
"9152","2006"
"9152","2007"
"9152","2008"
"9152","2009"
"9152","2010"
"9152","2011"
"9152","2013"
"9152","2014"
"9152","2015"
"9152","2016"
"9152","2017"
"9152","2018"
"9153","2018"
"9154","2018"
