haul_id;year;cell
NED1984037_069;1984;6745
NED1983018_038;1983;6745
NED1984037_070;1984;6745
HAM1981065_027;1981;6745
NED1983018_037;1983;6745
HAM1981065_035;1981;6745
HAM1982085_053;1982;6745
NED1983018_036;1983;6745
NED1984037_071;1984;6745
NED1986070_032;1986;6664
NED1986070_031;1986;6746
NED1986070_098;1986;6664
NED1986070_030;1986;6746
NED1983018_047;1983;6581
HAM1980042_040;1980;6581
HAM1982085_047;1982;6581
NED1986070_097;1986;6664
NED1986070_095;1986;6664
NED1986070_099;1986;6664
NED1986070_033;1986;6664
NED1986070_094;1986;6664
NED1986070_040;1986;6664
NED1983018_048;1983;6581
NED1986070_029;1986;6664
NED1986070_034;1986;6664
NED1986070_096;1986;6664
NED1986070_093;1986;6664
NED1986070_092;1986;6582
NED1986070_024;1986;6746
NED1986070_038;1986;6664
NED1986070_028;1986;6746
NED1986070_035;1986;6664
NED1983018_049;1983;6581
NED1986070_037;1986;6664
NED1986070_026;1986;6746
NED1986070_039;1986;6664
NED1986070_025;1986;6746
NED1986070_036;1986;6664
NED1986070_041;1986;6582
NED1986070_027;1986;6665
NED1986070_090;1986;6582
HAM1978009_007;1978;6829
NED1986070_023;1986;6747
NED1986070_091;1986;6582
NED1986070_089;1986;6582
HAM1978009_008;1978;6830
HAM1978009_006;1978;6829
HAM1978010_028;1978;6830
NED1986070_011;1986;6829
HAM1978010_029;1978;6830
NED1986070_087;1986;6582
NED1986070_088;1986;6582
NED1986070_042;1986;6582
HAM1978010_027;1978;6830
NED1986070_012;1986;6747
NED1986070_022;1986;6747
NED1986070_045;1986;6582
NED1986070_021;1986;6747
HAM1978009_009;1978;6830
NED1986070_086;1986;6582
HAM1978010_030;1978;6830
NED1986070_013;1986;6747
NED1986070_019;1986;6665
NED1986070_010;1986;6747
NED1986070_020;1986;6747
HAM1978009_020;1978;6912
NED1986070_009;1986;6747
HAM1978009_005;1978;6748
NED1986070_085;1986;6582
NED1986070_046;1986;6582
HAM1978009_019;1978;6830
NED1986070_014;1986;6747
HAM1978009_021;1978;6912
NED1986070_018;1986;6665
HAM1978010_026;1978;6912
NED1986070_044;1986;6582
NED1986070_043;1986;6582
NED1986070_084;1986;6582
HAM1978010_025;1978;6912
HAM1978009_018;1978;6830
NED1986070_017;1986;6665
NED1986070_047;1986;6582
HAM1978009_022;1978;6912
NED1986070_083;1986;6582
NED1986070_008;1986;6748
NED1986070_016;1986;6665
NED1986070_015;1986;6666
HAM1978009_023;1978;6913
HAM1978010_031;1978;6830
NED1986070_007;1986;6748
HAM1978009_024;1978;6913
NED1986070_053;1986;6583
NED1986070_050;1986;5023
NED1986070_049;1986;5023
NED1986070_052;1986;5023
HAM1978009_004;1978;6748
NED1986070_055;1986;6583
NED1986070_051;1986;5023
HAM1978009_017;1978;6831
HAM1978009_010;1978;6830
NED1986070_054;1986;6583
HAM1978010_024;1978;6831
NED1986070_005;1986;6666
NED1986070_081;1986;5023
NED1986070_006;1986;6748
HAM1978009_011;1978;6830
HAM1978010_032;1978;6830
HAM1978009_026;1978;6913
NED1986070_082;1986;5023
HAM1978009_028;1978;6913
HAM1978009_029;1978;6913
NED1986070_080;1986;5023
HAM1978009_012;1978;6830
HAM1978009_003;1978;6748
NED1986070_076;1986;5023
HAM1978010_023;1978;6831
NED1986070_056;1986;6583
NED1986070_079;1986;5023
HAM1978009_027;1978;6913
NED1986070_075;1986;5023
NED1986070_077;1986;5023
HAM1978009_016;1978;6831
NED1986070_004;1986;6666
NED1986070_057;1986;6583
NED1986070_078;1986;5023
NED1986070_061;1986;6583
NED1986070_059;1986;6583
NED1983017_048;1983;6996
HAM1978009_013;1978;6749
NED1986070_058;1986;6583
