haul_id;year;cell
NED1990133_090;1990;6659
NED1990133_088;1990;6659
NED1989116_074;1989;6659
NED1991148_078;1991;6659
NED1997254_071;1997;6659
NED1991148_077;1991;6659
NED1986059_035;1986;6660
NED1989116_073;1989;6659
NED1989116_075;1989;6659
NED2001003_065;2001;6659
NED1990133_091;1990;6659
NED1997254_070;1997;6659
NED2013002_076;2013;6659
NED1987077_034;1987;6659
NED1990133_087;1990;6659
NED1988097_059;1988;6659
NED1991148_079;1991;6659
NED1989116_076;1989;6659
NED1988097_060;1988;6659
NED1987077_035;1987;6659
NED1990133_080;1990;6660
TEM2007685_083;2007;6659
NED1997254_072;1997;6659
NED1989116_070;1989;6660
NED1991148_080;1991;6659
TEL2016002_074;2016;6659
NED1990133_089;1990;6659
NED1988097_057;1988;6660
NED1988097_058;1988;6660
NED1990133_079;1990;6660
NED2002002_068;2002;6659
NED1988097_056;1988;6660
NED1988097_064;1988;6659
NED2001003_066;2001;6660
NED1987077_032;1987;6660
NED1987077_033;1987;6660
TEL2016002_073;2016;6660
NED1987077_036;1987;6578
NED1990133_077;1990;6660
NED1990133_086;1990;6659
NED2000965_066;2000;6660
NED1986059_027;1986;6660
NED1989116_069;1989;6660
NED2002002_067;2002;6660
TEM2007685_084;2007;6659
NED1986059_036;1986;6660
NED2001003_067;2001;6578
NED1999871_069;1999;6578
NED1987077_031;1987;6660
NED1989116_072;1989;6660
NED1986059_038;1986;6660
NED1999871_068;1999;6660
NED2003002_081;2003;6660
NED1987077_037;1987;6578
NED1991148_081;1991;6578
NED1990133_081;1990;6660
NED2006001_077;2006;6660
TEL2005545_066;2005;6660
NED1991148_082;1991;6578
TEL2016002_072;2016;6660
NED2009841_053;2009;6660
NED1997254_069;1997;6660
NED1995216_062;1995;6660
NED1991148_064;1991;6742
NED1999871_066;1999;6660
NED2011002_081;2011;6742
NED2014002_052;2014;6742
NED2002002_069;2002;6578
NED1986059_024;1986;6742
NED1987077_030;1987;6660
NED1986059_034;1986;6660
NED1989116_071;1989;6660
NED1987077_038;1987;6578
TEL2016002_075;2016;6742
NED2019002_079;2019;6742
NED2011002_097;2011;6578
NED1990133_078;1990;6660
NED1986059_037;1986;6660
NED1988097_061;1988;6660
NED2013002_077;2013;6578
NED1991148_076;1991;6660
NED2019002_078;2019;6660
NED1990133_076;1990;6660
NED1988097_042;1988;6742
NED1988097_063;1988;6660
NED2013002_075;2013;6660
NED1991148_075;1991;6660
NED1986059_033;1986;6660
NED1991148_083;1991;6578
TEL2005545_055;2005;6742
NED1986059_025;1986;6742
NED2001003_064;2001;6742
TEL2005545_065;2005;6660
NED2000965_065;2000;6742
TEM2004004_082;2004;6742
TEM2004004_081;2004;6660
NED1986059_026;1986;6660
NED1988097_062;1988;6660
TEL2005545_067;2005;6578
NED1990133_075;1990;6660
NED2002002_064;2002;6660
NED1991148_065;1991;6742
NED1988097_041;1988;6742
NED1989116_057;1989;6742
NED2002002_065;2002;6660
NED2019002_077;2019;6660
NED1998773_070;1998;6660
NED1991148_066;1991;6742
NED1988097_055;1988;6660
NED1989116_084;1989;6660
NED1997254_068;1997;6660
NED1995216_063;1995;6578
NED1991148_074;1991;6660
TEM2007685_082;2007;6660
NED2012002_026;2012;6742
NED1988097_043;1988;6742
NED1999871_065;1999;6742
NED2013002_071;2013;6742
NED1990133_057;1990;6742
NED1986059_032;1986;6660
NED1989116_083;1989;6578
NED1989116_082;1989;6578
NED1989116_081;1989;6578
NED2006001_076;2006;6742
NED2002002_066;2002;6660
TEM2008775_020;2008;6660
NED2003002_080;2003;6660
TEM2008775_021;2008;6578
NED1998773_069;1998;6742
NED1990133_085;1990;6660
NED1986059_028;1986;6660
NED1989116_080;1989;6578
NED1988097_065;1988;6578
NED2017002_012;2017;6578
NED1989116_058;1989;6742
NED2019002_076;2019;6660
NED1986059_039;1986;6660
NED2013002_078;2013;6578
NED2003002_073;2003;6742
NED2013002_074;2013;6660
NED2010001_041;2010;6742
NED1991148_073;1991;6660
NED1997254_067;1997;6660
NED1991148_072;1991;6660
TEL2016002_076;2016;6742
NED1999871_070;1999;6578
NED2011002_080;2011;6742
NED1988097_066;1988;6578
TEL2016002_077;2016;6742
NED2003002_072;2003;6742
NED1997254_065;1997;6742
NED2001003_068;2001;6578
NED2014002_055;2014;6660
NED1991148_084;1991;6578
NED1991148_087;1991;6578
NED1987077_022;1987;6742
NED1987077_039;1987;6578
TEM2004004_080;2004;6660
NED1999871_067;1999;6660
NED1988097_054;1988;6660
NED1987077_029;1987;6660
NED1989116_079;1989;6578
NED1990133_092;1990;6578
NED1990133_082;1990;6660
NED1988097_071;1988;6660
NED1990133_083;1990;6660
NED1990133_084;1990;6660
NED2009841_050;2009;6660
TEM2007685_081;2007;6660
NED1986059_029;1986;6660
NED1987077_042;1987;6578
NED1988097_070;1988;6578
NED1989116_078;1989;6578
NED1991148_085;1991;6578
NED2003002_082;2003;6578
NED2011002_096;2011;6660
NED1988097_072;1988;6660
NED1995216_066;1995;6660
TEL2016002_071;2016;6578
NED1995216_064;1995;6660
NED2014002_056;2014;6660
NED1991148_071;1991;6660
NED2002002_070;2002;6578
NED1991148_070;1991;6660
NED1988097_053;1988;6660
NED1987077_043;1987;6660
NED1992165_084;1992;6578
NED1987077_040;1987;6578
NED1991148_086;1991;6578
NED1997254_066;1997;6660
NED1991148_069;1991;6660
NED2009841_052;2009;6660
NED1989116_066;1989;6660
TEL2005545_064;2005;6660
NED2000965_067;2000;6660
NED1990133_096;1990;6578
NED1988097_067;1988;6578
TEM1993134_053;1993;6743
NED1992165_081;1992;6660
NED1990133_095;1990;6578
NED1987077_028;1987;6660
NED1988097_069;1988;6578
NED1988097_068;1988;6578
TEM2004004_079;2004;6660
NED2013002_079;2013;6578
NED1990133_093;1990;6578
NED1989116_085;1989;6660
NED1986059_040;1986;6660
NED2017002_011;2017;6578
NED2019002_075;2019;6660
NED1995216_065;1995;6660
NED1994200_042;1994;6743
NED1992165_082;1992;6660
NED1987077_041;1987;6578
NED2014002_057;2014;6660
NED1996237_069;1996;6579
TEM1993134_054;1993;6743
NED1990133_094;1990;6578
NED1996237_070;1996;6579
NED1991148_088;1991;6579
NED1989116_091;1989;6579
NED2011002_095;2011;6579
NED1987077_044;1987;6579
NED2011002_093;2011;6579
TEM2007685_085;2007;6579
NED2003002_079;2003;6579
NED1991148_089;1991;6579
TEM1993134_052;1993;6743
NED1990133_072;1990;6579
NED2017002_010;2017;6579
NED1989116_093;1989;6579
NED2000965_070;2000;6579
TEM1993134_051;1993;6743
NED1994200_041;1994;6743
NED1989116_090;1989;6579
NED1986059_041;1986;6579
TEL2005545_069;2005;6579
NED2000965_081;2000;6579
NED1999871_076;1999;6579
NED1994200_043;1994;6743
NED1998773_071;1998;6579
NED2000965_082;2000;6579
NED1995216_073;1995;6579
NED2002002_072;2002;6579
NED2000965_073;2000;6579
NED1991148_094;1991;6579
NED2002002_071;2002;6579
NED2014002_058;2014;6579
NED2011002_098;2011;6579
NED1996237_071;1996;6579
NED1999871_074;1999;6579
NED2009841_067;2009;6579
NED2000965_083;2000;6579
NED2009841_056;2009;6579
NED1997254_075;1997;6579
NED2009841_057;2009;6579
NED2002002_073;2002;6579
NED1991148_090;1991;6579
NED1989116_089;1989;6579
NED2009841_066;2009;6579
NED1999871_077;1999;6579
VEN2018002_032;2018;6744
VEN2018002_025;2018;6661
NED1996237_072;1996;6579
NED1992165_085;1992;6579
NED1992165_083;1992;6579
NED1989116_094;1989;6579
VEN2018002_026;2018;6661
NED2000965_084;2000;6579
NED2001003_070;2001;6579
NED1997254_074;1997;6579
NED1988097_093;1988;6579
NED1996237_074;1996;6579
NED2002002_074;2002;6579
NED2009841_055;2009;6579
NED1996237_075;1996;6579
TEL2016002_068;2016;6579
TEM2007685_086;2007;6579
NED2006001_079;2006;6579
NED2019002_071;2019;6579
NED2003002_087;2003;6579
NED2013002_080;2013;6579
VEN2018002_027;2018;6662
NED2009841_054;2009;6579
NED2013002_081;2013;6579
NED1988097_092;1988;6579
VEN2018002_028;2018;6662
NED1992165_086;1992;6579
NED1997254_082;1997;6579
NED1989116_095;1989;6579
NED2019002_073;2019;6579
TEL2005545_070;2005;6579
TEM2004004_078;2004;6579
TEM1993134_050;1993;6661
NED2009841_065;2009;6579
TEL2005545_078;2005;6579
NED1995216_072;1995;6579
NED2014002_059;2014;6579
TEL2016002_069;2016;6579
VEN2018002_029;2018;6662
