"cell","year"
"4780","1970"
"4780","1971"
"4780","1972"
"4780","1973"
"4780","1974"
"4780","1975"
"4780","1976"
"4780","1977"
"4780","1978"
"4780","1979"
"4780","1980"
"4780","1981"
"4780","1982"
"4780","1983"
"4780","1984"
"4780","1985"
"4780","1986"
"4780","1987"
"4780","1988"
"4780","1989"
"4780","1990"
"4780","1991"
"4780","1992"
"4780","1993"
"4780","1994"
"4780","1995"
"4780","1996"
"4780","1997"
"4780","1998"
"4780","1999"
"4780","2000"
"4780","2001"
"4780","2002"
"4780","2003"
"4780","2004"
"4780","2005"
"4780","2006"
"4780","2007"
"4780","2008"
"4780","2009"
"4780","2010"
"4780","2011"
"4780","2012"
"4780","2013"
"4780","2014"
"4780","2015"
"4780","2016"
"4780","2017"
"4780","2018"
"4780","2019"
"4780","2020"
"4860","1970"
"4860","1971"
"4860","1972"
"4860","1973"
"4860","1974"
"4860","1975"
"4860","1976"
"4860","1977"
"4860","1978"
"4860","1979"
"4860","1980"
"4860","1981"
"4860","1982"
"4860","1983"
"4860","1984"
"4860","1985"
"4860","1986"
"4860","1987"
"4860","1988"
"4860","1989"
"4860","1990"
"4860","1991"
"4860","1992"
"4860","1993"
"4860","1994"
"4860","1995"
"4860","1996"
"4860","1997"
"4860","1998"
"4860","1999"
"4860","2000"
"4860","2001"
"4860","2002"
"4860","2003"
"4860","2004"
"4860","2005"
"4860","2006"
"4860","2007"
"4860","2008"
"4860","2009"
"4860","2010"
"4860","2011"
"4860","2012"
"4860","2013"
"4860","2014"
"4860","2015"
"4860","2016"
"4860","2017"
"4860","2018"
"4860","2019"
"4860","2020"
"4861","1971"
"4861","1979"
"4861","2018"
"4942","1971"
"4942","1979"
"4942","2018"
"5023","1971"
"5023","1979"
"5023","2018"
"6581","1970"
"6581","1971"
"6581","1972"
"6581","1973"
"6581","1974"
"6581","1975"
"6581","1976"
"6581","1977"
"6581","1978"
"6581","1979"
"6581","1980"
"6581","1981"
"6581","1982"
"6581","1983"
"6581","1984"
"6581","1985"
"6581","1986"
"6581","1987"
"6581","1988"
"6581","1989"
"6581","1990"
"6581","1991"
"6581","1992"
"6581","1993"
"6581","1994"
"6581","1995"
"6581","1996"
"6581","1997"
"6581","1998"
"6581","1999"
"6581","2000"
"6581","2001"
"6581","2002"
"6581","2003"
"6581","2004"
"6581","2005"
"6581","2006"
"6581","2007"
"6581","2008"
"6581","2009"
"6581","2010"
