haul_id;year;cell
201945329-81.34530.149;2019;32966
201945129-81.37330.247;2019;32966
201944929-81.38330.293;2019;32966
201944729-81.38630.336;2019;32966
201944531-81.38830.454;2019;32966
201945531-81.40730.627;2019;32885
201945731-81.4230.753;2019;32885
201945931-81.33730.785;2019;32885
201946133-81.37730.843;2019;32885
201939333-81.31530.882;2019;32885
201946333-81.3230.925;2019;32885
201946533-81.31830.991;2019;32885
201947133-81.32531.041;2019;32885
201939535-81.26131.132;2019;32885
201947335-81.2831.178;2019;32885
201939735-81.20831.25;2019;32885
201947535-81.20231.295;2019;32885
201939935-81.1631.379;2019;32885
201940137-81.09231.457;2019;6560
201947737-81.07631.573;2019;6560
201947937-81.03531.653;2019;6560
201941137-8131.71;2019;6560
201940939-80.95731.768;2019;6560
201940739-80.89131.853;2019;6560
201940539-80.78231.96;2019;6560
201940339-80.75331.971;2019;6560
201946941-80.53532.175;2019;6561
201946741-80.53332.227;2019;6561
201944341-80.4632.262;2019;6561
201944141-80.32832.328;2019;6561
201943943-80.28132.409;2019;6561
201939143-80.09932.564;2019;6480
201938943-80.00832.572;2019;6480
201938545-79.93832.591;2019;6480
201938745-79.94432.609;2019;6480
201938145-79.88632.632;2019;6480
201938345-79.89832.633;2019;6480
201941347-79.69632.783;2019;6480
201948147-79.68132.808;2019;6480
201941547-79.65132.843;2019;6480
201941747-79.46232.914;2019;6480
201948349-79.39632.948;2019;6480
201941949-79.38232.962;2019;6480
201951549-79.17333.06;2019;6481
201943551-79.12933.305;2019;6481
201943351-79.12733.328;2019;6481
201943151-79.12733.348;2019;6481
201942951-79.05533.491;2019;6399
201943757-77.89533.713;2019;6400
201942753-78.76233.715;2019;6399
201950357-77.90933.748;2019;6400
201950555-77.97833.783;2019;6400
201942353-78.61533.79;2019;6400
201942553-78.6933.795;2019;6400
201950157-77.92933.805;2019;6400
201942153-78.63733.811;2019;6400
201950755-77.98933.815;2019;6400
201949957-77.93333.852;2019;6400
201951355-78.33533.892;2019;6400
201951155-78.29433.893;2019;6400
201950955-78.19933.902;2019;6400
201949759-77.90233.982;2019;6400
201949559-77.87834.037;2019;6319
201948559-77.85434.104;2019;6319
201948759-77.74634.253;2019;6319
201948959-77.68834.306;2019;6319
201949161-77.55934.412;2019;6319
201949361-77.48834.453;2019;6319
199240963-76.49334.493;1992;6567
199545363-76.49834.497;1995;6567
199339163-76.49834.497;1993;6567
198934363-76.49534.498;1989;6567
199143963-76.49834.502;1991;6567
199443763-76.50834.508;1994;6567
