haul_id;year;cell
198929721-80.80828.925;1989;33129
198929923-80.82228.947;1989;33129
198930125-80.99729.232;1989;33048
198930327-81.1729.598;1989;32966
198929529-81.38230.33;1989;32966
198929331-81.43530.752;1989;32885
198929131-81.38730.787;1989;32885
198928933-81.3130.887;1989;32885
198928733-81.30530.925;1989;32885
198928533-81.28831.052;1989;32885
198930535-81.19531.297;1989;32885
198930735-81.16231.372;1989;32885
198930937-81.11531.422;1989;32885
198931337-81.0731.583;1989;6560
198931137-81.0931.587;1989;6560
198931539-80.89731.843;1989;6560
198931739-80.7531.97;1989;6560
198928341-80.53232.237;1989;6561
198928141-80.46732.277;1989;6561
198927543-80.27232.395;1989;6561
198927743-80.28732.397;1989;6561
198927345-79.9532.597;1989;6480
198927147-79.67332.807;1989;6480
198926947-79.64732.842;1989;6480
198926747-79.43332.913;1989;6480
198926549-79.26732.998;1989;6481
198926349-79.10233.05;1989;6481
198926149-79.14833.138;1989;6481
198925949-79.11733.198;1989;6481
198925749-79.13233.222;1989;6481
198925551-79.12233.303;1989;6481
198925351-79.1233.322;1989;6481
198925151-79.11733.347;1989;6481
198924951-79.10833.353;1989;6481
198924751-79.11233.38;1989;6481
198924551-79.04833.438;1989;6399
198922355-77.87233.625;1989;6400
198922557-77.88533.712;1989;6400
198922757-77.89733.735;1989;6400
198922155-77.96533.783;1989;6400
198921353-78.68233.785;1989;6400
198921553-78.64233.79;1989;6400
198921753-78.55733.82;1989;6400
198921955-78.34233.887;1989;6400
198924357-77.90833.913;1989;6400
198924159-77.8834.048;1989;6319
199325163-76.49834.497;1993;6567
199032563-76.49734.498;1990;6567
198923563-76.49534.508;1989;6567
199523363-76.50834.508;1995;6567
199428963-76.50834.512;1994;6567
198923961-77.12234.608;1989;6238
198923763-76.61734.653;1989;6238
198923365-76.34334.792;1989;6568
198923165-76.10834.983;1989;6568
198922967-75.93335.093;1989;6568
